Advertiser,Brand Root,Brand (Major),Brand (Minor),Brand (Leaf),Category Level 1,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Category Level 6,Category Level 7,Category Level 8,Channel,Creative Id,Width,Height,Creative Type_x,First Seen,Last Seen,Duration,Text_x,Landing Page,Link To Creative,Link to Post,Format,Placement,Ad Buy Type,Publisher,Spend (USD),Impressions,Type,URL_to_use,Creative Type_y,Text_y,Download Status,Audio Status,File Path,Audio Path,Text File,transcription,objects_detected,people_detected,text_detected,overall_description,processing_status,ad_category,primary_cta,value_proposition,target_audience,focus_vs_other,SUPPORT FOR WORKING MOMS,EMOTIONAL SUPPORT & WELLNESS,AUTHENTIC COMMUNITY & PEER VALIDATION,MEDICAL ENDORSEMENT & CLINICAL TRUST,EVERYDAY PRACTICALITY,PORTABILITY & DISCREET DESIGN,PRICE VS VALUE,TOTAL_CATEGORIES,HAS_MARKETING_THEME,MARKETING_THEMES
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,496497662,586,375,Other,19/11/2023,16/02/2025,0,Qualify for more than just a free breast pump. Helping expecting mamas since 2013.,,,,Other,Feed,Direct,Facebook,110699.23,14850890,Not Available,,,,Not Available,Not Available,,,,,No media file specified,No media file specified,No media file specified,No media file specified,Skipped,,,,,focus,False,False,False,False,False,False,True,1,True,PRICE VS VALUE
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,615262009,360,428,Text,29/05/2024,21/06/2024,0,"We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Med",,https://s3.amazonaws.com/YM_Ads/-4936874042385870022.png,https://www.facebook.com/990789562405178,Other,Feed,Direct,Facebook,91627.06,12234560,Image,https://s3.amazonaws.com/YM_Ads/-4936874042385870022.png,Text,"We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Med",success,skipped,media_DME_Provider/images/creative_1.jpg,,creative_1_text.txt,,"Objects:
- Breast pump device (Motif brand)
- Bottles with breast milk
- Tubing and accessories for the breast pump","People:
None detected","Text:
- ""Aeroflow Breastpumps""
- ""We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Med...""
- ""FREE BREAST PUMP THROUGH INSURANCE""
- ""AEROFLOWBREASTPUMPS.COM""
- ""FREE Breast Pump Through Insurance!""
- ""SIGN UP""","Overall scene:
The overall scene appears to be an advertisement on social media for Aeroflow Breastpumps, promoting their service of helping mothers obtain free breast pumps through insurance. The image shows the breast pump device and related accessories, emphasizing the availability and functionality of the product.",Success,"Ad Category/Product Type:
Breast pumps/Healthcare services","Primary Call-to-Action:
Sign Up","Value Proposition:
Free breast pump through insurance","Target Audience:
Mothers or expecting mothers who need a breast pump and may benefit from obtaining one through their insurance plan",focus,False,False,False,False,False,False,True,1,True,PRICE VS VALUE
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,496497662,586,375,Other,19/11/2023,16/02/2025,0,Qualify for more than just a free breast pump. Helping expecting mamas since 2013.,,,,Other,Other,Direct,Facebook,7041.95,1010323,Not Available,,,,Not Available,Not Available,,,,,No media file specified,No media file specified,No media file specified,No media file specified,Skipped,,,,,focus,False,False,False,False,False,False,True,1,True,PRICE VS VALUE
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,615262009,360,428,Text,29/05/2024,21/06/2024,0,"We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Med",,https://s3.amazonaws.com/YM_Ads/-4936874042385870022.png,https://www.facebook.com/990789562405178,Other,Reels,Direct,Facebook,11360.45,1516910,Image,https://s3.amazonaws.com/YM_Ads/-4936874042385870022.png,Text,"We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Med",success,skipped,media_DME_Provider/images/creative_3.jpg,,creative_1_text.txt,,"Objects:
- Breast pump device (Motif brand)
- Bottles with breast milk
- Tubing and accessories for the breast pump","People:
None detected","Text:
- ""Aeroflow Breastpumps""
- ""We help mamas qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including; Motif, Med...""
- ""FREE BREAST PUMP THROUGH INSURANCE""
- ""AEROFLOWBREASTPUMPS.COM""
- ""FREE Breast Pump Through Insurance!""
- ""SIGN UP""","Overall scene:
The overall scene appears to be an advertisement on social media for Aeroflow Breastpumps, promoting their service of helping mothers obtain free breast pumps through insurance. The image shows the breast pump device and related accessories, emphasizing the availability and functionality of the product.",Success,"Ad Category/Product Type:
Breast pumps/Healthcare services","Primary Call-to-Action:
Sign Up","Value Proposition:
Free breast pump through insurance","Target Audience:
Mothers or expecting mothers who need a breast pump and may benefit from obtaining one through their insurance plan",focus,False,False,False,False,False,False,True,1,True,PRICE VS VALUE
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,511187772,360,600,Text,25/01/2024,30/01/2024,0,We help mamas qualify for a FREE Breast Pump through insurance!,https://aeroflowbreastpumps.com/qualify-through-insurance-b?utm_source=facebook&utm_medium=cpc&utm_campaign=8049_Facebook_Ads&h=AT0rjtPiSmCzYelcpoTd_3eVjxwpQdgcCYbTkSMBEDR1k7Sa5TWxTPkSzr3PuIErBQHsyQPJ7kP13v65QCNe-pLPDUQlmdh5FavdQCn1CuG25ET3n_LG1UnpqnXY5r-QQBT54A_HPQEYjpX5&s=1,https://s3.amazonaws.com/YM_Ads/-724000755829906966.png,https://www.facebook.com/2808925732574384,Other,Other,Direct,Facebook,14714,2111048,Image,https://s3.amazonaws.com/YM_Ads/-724000755829906966.png,Text,We help mamas qualify for a FREE Breast Pump through insurance!,success,skipped,media_DME_Provider/images/creative_4.jpg,,creative_2_text.txt,,"Objects:
The image displays various breast pumps and related accessories. Specifically, there are different models of breast pumps, bottles, and a carrying bag.","People:
None detected.","Text:
- ""Aeroflow Breastpumps"" (Brand name)
- ""We help mamas qualify for a FREE Breast Pump through insurance!""
- ""FREE Breast Pumps Through Insurance""
- ""Aeroflow Breastpumps Motherhood Through Insurance""
- ""AEROFLOWBREASTPUMPS.COM FREE Breast Pump through insurance!""
- ""LEARN MORE""","Overall scene:
The overall scene is a promotional advertisement for Aeroflow Breastpumps, highlighting their service of providing free breast pumps through insurance. The setting is clean and product-focused with pastel colors to appeal to mothers.",Success,"Ad Category/Product Type:
Breast pump services provided through insurance.","Primary Call-to-Action:
Learn More","Value Proposition:
Free breast pumps through insurance.","Target Audience:
Mothers or expecting mothers who need breast pumps and may benefit from getting them covered by their insurance plan.",focus,False,False,False,False,False,False,True,1,True,PRICE VS VALUE
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,647598006,430,464,Image,26/06/2024,12/02/2025,0,"See if you qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including Medela, Lansinoh, Evenflo, Spectra, and Motif! Get Your Insurance-Covered Breast Pump Here: http://bit.ly/2zU4bHP",,https://s3.amazonaws.com/YM_Ads/584991803077025632.png,,Other,Feed,Direct,Facebook,354852.26,47588795,Image,https://s3.amazonaws.com/YM_Ads/584991803077025632.png,Image,"See if you qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including Medela, Lansinoh, Evenflo, Spectra, and Motif! Get Your Insurance-Covered Breast Pump Here: http://bit.ly/2zU4bHP",success,skipped,media_DME_Provider/images/creative_5.jpg,,creative_3_text.txt,,"Objects:
The image shows various breast pump products, including a central electronic breast pump and several bottles and accessories arranged on a tray.","People:
None detected.","Text:
The text visible in the image includes the brand name ""Aeroflow Breastpumps"" and a promotional message: ""See if you qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including Medela, Lansinoh, Evenflo, Spectra, and Motif.""","Overall scene:
The overall scene is set on what appears to be a tabletop or counter with a decorative tray holding different breast pump products. The setting suggests an organized and clean environment, likely aiming to appeal to new mothers or expecting parents.",Success,"Ad Category/Product Type:
Breast pumps and related accessories.","Primary Call-to-Action:
The specific action the ad wants users to take is to see if they qualify for a free breast pump through insurance.","Value Proposition:
The main benefit being highlighted is the opportunity to receive a free breast pump through insurance coverage.","Target Audience:
Based on imagery and messaging, the ad is targeting new mothers or expecting parents who may need breast pumps for nursing their infants.",focus,False,False,False,False,False,False,True,1,True,PRICE VS VALUE
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,593989150,360,841,Video,22/04/2024,16/02/2025,0,"If you aren’t getting your breastpump for free, you are missing out. Click the link in our bio to see if you qualify today! #breastfeeding #motherhood #firsttimemom #AeroflowBreastpumps",https://aeroflowbreastpumps.com/qualify-through-insurance,https://s3.amazonaws.com/YM_Ads/2950350195541081104.png,,Other,Feed,Direct,Facebook,1755.91,234460,Image,https://s3.amazonaws.com/YM_Ads/2950350195541081104.png,Video,"If you aren’t getting your breastpump for free, you are missing out. Click the link in our bio to see if you qualify today! #breastfeeding #motherhood #firsttimemom #AeroflowBreastpumps",success,skipped,media_DME_Provider/images/creative_6.jpg,,creative_4_text.txt,,"Objects:
- Breast pump
- A book or card with a purple flower image","People:
None detected","Text:
- ""Aeroflow Breastpumps""
- ""If you aren’t getting your breastpump for free, you are missing out. Click the link in our bio to see if you qualify today! #breastfeeding #motherhood #firsttimemom #AeroflowBreastpumps""
- ""When I see a new mom using a breast pump not covered by insurance""","Overall scene:
The setting appears to be indoors, possibly in a home environment. The purpose of the scene is to highlight the use of breast pumps and promote Aeroflow Breastpumps' services.",Success,"Ad Category/Product Type:
Breastfeeding products/services","Primary Call-to-Action:
Learn more","Value Proposition:
Getting a breast pump for free through insurance coverage","Target Audience:
New mothers, first-time moms, breastfeeding mothers",focus,False,False,False,False,False,False,True,1,True,PRICE VS VALUE
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,647598006,430,464,Image,26/06/2024,12/02/2025,0,"See if you qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including Medela, Lansinoh, Evenflo, Spectra, and Motif! Get Your Insurance-Covered Breast Pump Here: http://bit.ly/2zU4bHP",,https://s3.amazonaws.com/YM_Ads/584991803077025632.png,,Other,Stories,Direct,Facebook,262.29,36296,Image,https://s3.amazonaws.com/YM_Ads/584991803077025632.png,Image,"See if you qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including Medela, Lansinoh, Evenflo, Spectra, and Motif! Get Your Insurance-Covered Breast Pump Here: http://bit.ly/2zU4bHP",success,skipped,media_DME_Provider/images/creative_7.jpg,,creative_3_text.txt,,"Objects:
The image shows various breast pump products, including a central electronic breast pump and several bottles and accessories arranged on a tray.","People:
None detected.","Text:
The text visible in the image includes the brand name ""Aeroflow Breastpumps"" and a promotional message: ""See if you qualify for a FREE Breast Pump through insurance! We offer a full line of Breast Pumps including Medela, Lansinoh, Evenflo, Spectra, and Motif.""","Overall scene:
The overall scene is set on what appears to be a tabletop or counter with a decorative tray holding different breast pump products. The setting suggests an organized and clean environment, likely aiming to appeal to new mothers or expecting parents.",Success,"Ad Category/Product Type:
Breast pumps and related accessories.","Primary Call-to-Action:
The specific action the ad wants users to take is to see if they qualify for a free breast pump through insurance.","Value Proposition:
The main benefit being highlighted is the opportunity to receive a free breast pump through insurance coverage.","Target Audience:
Based on imagery and messaging, the ad is targeting new mothers or expecting parents who may need breast pumps for nursing their infants.",focus,False,False,False,False,False,False,True,1,True,PRICE VS VALUE
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,715929301,430,464,Carousel,11/01/2025,10/02/2025,0,"Did you know your health insurance may cover free breast pumps, milk storage bags, AND breastfeeding classes? This National Insurance Awareness day, let Aeroflow help you take advantage of your health insurance benefits. We work with your insurance company and healthcare provider to get you the medical supplies, education, and support you need—all at little to no cost to you! Fill out the eligibility form to see if you qualify: https://rebrand.ly/Check-Your-Eligibility #Breastfeeding #Motherhood #AeroflowBreastpumps #Insurance",,https://s3.amazonaws.com/YM_Ads/-8904675361853256509.png,,Other,Feed,Direct,Facebook,5081.67,703215,Image,https://s3.amazonaws.com/YM_Ads/-8904675361853256509.png,Carousel,"Did you know your health insurance may cover free breast pumps, milk storage bags, AND breastfeeding classes? This National Insurance Awareness day, let Aeroflow help you take advantage of your health insurance benefits. We work with your insurance company and healthcare provider to get you the medical supplies, education, and support you need—all at little to no cost to you! Fill out the eligibility form to see if you qualify: https://rebrand.ly/Check-Your-Eligibility #Breastfeeding #Motherhood #AeroflowBreastpumps #Insurance",success,skipped,media_DME_Provider/images/creative_8.jpg,,creative_5_text.txt,,"Objects:
- Breast pump
- Milk storage bags
- Breastfeeding classes","People:
None detected","Text:
- ""Aeroflow Breastpumps""
- ""Sponsored""
- ""Did you know your health insurance may cover free breast pumps, milk storage bags, AND breastfeeding classes? This National Insurance Awareness day, let Ae...""
- ""How to Get Your Motherhood Essentials Free in Three Easy Steps""
- ""#NationalInsuranceAwarenessDay""","Overall scene:
The overall scene appears to be an advertisement for Aeroflow Breastpumps, promoting the availability of free motherhood essentials through health insurance coverage.",Success,"Ad Category/Product Type:
Breast pumps and related motherhood products/services.","Primary Call-to-Action:
None explicitly stated in the visible text.","Value Proposition:
Free breast pumps, milk storage bags, and breastfeeding classes covered by health insurance.","Target Audience:
Mothers or expecting mothers who are looking for essential motherhood products and services that may be covered by their health insurance.",focus,False,False,False,True,False,False,True,2,True,MEDICAL ENDORSEMENT & CLINICAL TRUST; PRICE VS VALUE
"Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.","Aeroflow, Inc.",All Categories,Shopping,Family & Parenting Shopping,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Maternity & Nursing,Facebook,592233334,360,558,Text,22/04/2024,23/04/2024,0,Qualify in three easy steps online. Let Aeroflow do the hard work while you focus on the baby.,https://aeroflowbreastpumps.com/catalogsearch/result/?q=qualify+through+insurance%26h%3DAT3F4ijYlBnf5YzLtDfZgXLQo8raCXeTJC+6sOrwl0mfzWNjQJ33YMzkkpQcmo7P+Q2X0BXW4bckcTaHIbAX0nwo_sBMW7lwWvIzMSCuYanC_AenYhGTWBloaadevW9ymNHTFfqslfpyvkq9%26s%3D1,https://s3.amazonaws.com/YM_Ads/-3875044388915519196.png,https://www.facebook.com/970169184467216,Other,Feed,Direct,Facebook,1165.06,155566,Image,https://s3.amazonaws.com/YM_Ads/-3875044388915519196.png,Text,Qualify in three easy steps online. Let Aeroflow do the hard work while you focus on the baby.,success,skipped,media_DME_Provider/images/creative_9.jpg,,creative_6_text.txt,,"Objects:
- Breast pump
- Storage bag for breast milk
- Backpack or bag","People:
- One person is visible, presumably a woman, wearing a grey sweater and green pants. She is holding a storage bag for breast milk.","Text:
- ""Aeroflow Breastpumps""
- ""Qualify in three easy steps online. Let Aeroflow do the hard work while you focus on the baby.""
- ""Get a FREE breast pump through insurance today!""
- ""Provide your insurance info""
- ""We verify coverage""
- ""Pumps ship free!""
- ""AEROFLOWBREASTPUMPS.COM""
- ""LEARN MORE""","Overall scene:
The overall scene appears to be an advertisement for Aeroflow Breastpumps, promoting their service of providing free breast pumps through insurance. The setting suggests convenience and ease of obtaining a necessary product for new mothers.",Success,"Ad Category/Product Type:
Breast pumps/Healthcare services","Primary Call-to-Action:
""LEARN MORE""","Value Proposition:
""Get a FREE breast pump through insurance today!"" - The main benefit highlighted is receiving a free breast pump covered by insurance.","Target Audience:
New mothers or expecting mothers who need breast pumps and are looking to obtain them through their insurance coverage.",focus,False,False,False,False,False,True,True,2,True,PORTABILITY & DISCREET DESIGN; PRICE VS VALUE
